id,name,year,citationcount,affiliation
p0227,Ben Shneiderman,1971,11,"State University of New York at Farmingdale, Farmingdale, New York"
p0227,Ben Shneiderman,1973,102,"State University of New York at Stony Brook, Stony Brook, L. I., New York"
p0227,Ben Shneiderman,1992,2227,Department of Computer Science|Human-Computer Interaction Laboratory|University of Maryland
p1170,Jaroslav Tyman,2004,6,Georgia Institute of Technology
p0910,Grant P. Gruetzmacher,2004,6,Georgia Institute of Technology
p1334,John Stasko,2004,6,Georgia Institute of Technology
p0227,Ben Shneiderman,2000,932,"Univ. of Maryland, College Park"
p1668,Marc Brown,1994,167,"DEC Systems Research Center, Palo Alto, CA"
p1319,John Domingue,1994,167,"HCRL, The Open University, Milton Keynes, UK"
p0270,Blaine Price,1994,167,"HCRL, The Open University, Milton Keynes, UK"
p1334,John Stasko,1994,167,"Graphics, Visualization and Usability Center, College of Computing, Georgia Institute of Technology, Atlanta, GA"
p0227,Ben Shneiderman,1973,12,"State University Agricultural and Technical College, Farmingdale, U.S.A."
p0506,Daniel A. Keim,2013,218,University of Konstanz
p1063,Huamin Qu,2013,218,Hong Kong University of Science and Technology
p1533,Kwan-Liu Ma,2013,218,"University of California, Davis"
p0227,Ben Shneiderman,1992,0,"University of Maryland, College Park, MD"
p2551,Susanne M. Humphrey,1992,0,"National Library of Medicine Bethesda, MD"
p2551,Susanne M. Humphrey,1987,0,"National Library of Medicine Bethesda, MD"
p0227,Ben Shneiderman,1987,0,"University of Maryland, College Park"
p1652,Maneesh Agrawala,2000,162,"Stanford Univ, Stanford, CA 94305 USA"
p0594,Denis Zorin,2000,162,"New York Univ, New York, NY 10003 USA"
p2578,Tamara Munzner,2000,162,"Stanford Univ, Stanford, CA 94305 USA"
p0227,Ben Shneiderman,2002,219,"Univ. of Maryland, College Park"
p0323,Carlos D. Correa,2010,103,"University of California, Davis"
p1533,Kwan-Liu Ma,2010,103,"University of California, Davis"
p1854,Michael Ogawa,2010,149,"Univ Calif Davis, VIDI Lab, Davis, CA 95616 USA"
p1533,Kwan-Liu Ma,2010,149,"Univ Calif Davis, VIDI Lab, Davis, CA 95616 USA"
p0227,Ben Shneiderman,1974,24,"Indiana Univ., Bloomington"
p2088,Peter Scheuermann,1974,24,"State Univ. of New York at Stony Brook, Stony Brook"
p0227,Ben Shneiderman,2001,364,"Univ Maryland, Dept Comp Engn, Human Comp Interact Lab, Inst Adv Comp Studies, College Pk, MD 20742 USA"
p1749,Martin Wattenberg,2001,364,"Columbia Univ, New York, NY 10027 USA"
p0547,David Crawford,2004,15,"Univ Calif Davis, Dept Comp Sci, 1 Shields Ave, Davis, CA 95616 USA"
p1533,Kwan-Liu Ma,2004,15,"Univ Calif Davis, Dept Comp Sci, Davis, CA 95616 USA"
p1894,Min-Yu Huang,2004,15,"Univ Calif Davis, Dept Comp Sci, Davis, CA 95616 USA"
p2354,Scott Klasky,2004,15,"Univ Calif Davis, Dept Comp Sci, Davis, CA 95616 USA"
p2504,Stephane Ethier,2004,15,"Univ Calif Davis, Dept Comp Sci, Davis, CA 95616 USA"
p0507,Daniel Archambault,2013,38,"Swansea Univ, Dept Comp Sci, Swansea, W Glam, Wales"
p1146,James Abello,2013,38,"Rutgers State Univ, DIMACS Ctr, Discrete Math & Theoret Comp Sci, New Brunswick, NJ 8901 USA"
