year,sourceId,targetId,id,type,citationcount,count
1971,p0227,p0227,0,Co-co-author,11,1
1973,p0227,p0227,2,Co-co-author,102,1
1974,p0227,p2088,53e9981db7602d970203d5ca,Co-co-author,24,1
1975,p0227,p0227,53e9ae76b7602d97038916d9,Co-co-author,29,1
1976,p0227,p2532,53e9b802b7602d97043b639a,Co-co-author,10,1
1976,p1314,p0227,53e9a946b7602d97032984f9,Co-co-author,8,1
1977,p0227,p0641,53e9abfeb7602d97035be356,Co-co-author,270,1
1977,p0227,p2081,53e9abfeb7602d97035be356,Co-co-author,270,1
1977,p0227,p2221,53e9abfeb7602d97035be356,Co-co-author,270,1
1978,p1191,p0227,53e9bc79b7602d97048f5279,Co-co-author,12,1
1979,p0227,p2221,53e9a162b7602d9702a52070,Co-co-author,502,1
1979,p2260,p0227,53e99f19b7602d97027e6564,Co-co-author,12,1
1979,p2260,p0612,53e99f19b7602d97027e6564,Co-co-author,12,1
1979,p2260,p1156,53e99f19b7602d97027e6564,Co-co-author,12,1
1979,p2260,p2473,53e99f19b7602d97027e6564,Co-co-author,12,1
1980,p0227,p0901,53e999e7b7602d970222fa1d,Co-co-author,10,1
1980,p2684,p0227,53e9b9b4b7602d97045a3c8a,Co-co-author,23,1
1980,p2684,p0498,53e9b9b4b7602d97045a3c8a,Co-co-author,23,1
1981,p0227,p0227,53e9b102b7602d9703b7c004,Co-co-author,2,1
1981,p0227,p0227,53e99a3cb7602d970229bf4e,Co-co-author,0,1
1981,p0227,p0227,53e9b873b7602d9704441299,Co-co-author,30,1
1982,p0227,p0901,53e99eb5b7602d970277e91b,Co-co-author,9,1
1982,p0227,p0901,53e9b304b7602d9703dcb0c9,Co-co-author,84,1
1983,p0810,p0227,53e9b4e9b7602d970401430f,Co-co-author,5,1
1983,p0810,p2184,53e9b4e9b7602d970401430f,Co-co-author,5,1
1983,p2216,p0227,53e99b2cb7602d97023c5833,Co-co-author,185,1
1983,p2216,p1373,53e99b2cb7602d97023c5833,Co-co-author,185,1
1983,p2216,p1377,53e99b2cb7602d97023c5833,Co-co-author,185,1
1984,p1773,p0227,53e999d2b7602d9702215e6a,Co-co-author,83,1
1984,p1773,p0476,53e999d2b7602d9702215e6a,Co-co-author,83,1
1984,p1773,p2030,53e999d2b7602d9702215e6a,Co-co-author,83,1
1986,p0354,p0227,53e9bce8b7602d970496d87a,Co-co-author,3,1
1986,p1489,p0227,53e9b731b7602d97042c7369,Co-co-author,118,1
1986,p1489,p1589,53e9b731b7602d97042c7369,Co-co-author,118,1
1986,p2019,p0227,53e9b839b7602d97043f84e4,Co-co-author,9,1
1987,p1099,p0227,53e9a79eb7602d97030d8b51,Co-co-author,1,1
1987,p1099,p0260,53e9a79eb7602d97030d8b51,Co-co-author,1,1
1987,p1099,p1038,53e9a79eb7602d97030d8b51,Co-co-author,1,1
1987,p1099,p2630,53e9a79eb7602d97030d8b51,Co-co-author,1,1
1987,p1112,p0227,53e9a066b7602d970294c528,Co-co-author,53,1
1987,p2551,p0227,53e997ecb7602d9701fe8113,Co-co-author,0,1
1988,p0227,p1324,53e9b4a1b7602d9703fad7a6,Co-co-author,1,1
1988,p0519,p0227,53e9ba76b7602d970469b88a,Co-co-author,41,1
1988,p2213,p0227,53e9b9dab7602d97045d3a78,Co-co-author,56,1
1988,p2213,p0340,53e9b9dab7602d97045d3a78,Co-co-author,56,1
1989,p0227,p0340,53e9ace8b7602d97036c5e2d,Co-co-author,72,1
1989,p0227,p0656,53e9ace8b7602d97036c5e2d,Co-co-author,72,1
1989,p0227,p2224,53e9ace8b7602d97036c5e2d,Co-co-author,72,1
1989,p0818,p0101,53e9af53b7602d97039973b6,Co-co-author,2,1
1989,p0818,p0227,53e9af53b7602d97039973b6,Co-co-author,2,1
1989,p0818,p0645,53e9af53b7602d97039973b6,Co-co-author,2,1
1989,p0818,p2002,53e9af53b7602d97039973b6,Co-co-author,2,1
1989,p2213,p0227,53e9bb36b7602d97047756ca,Co-co-author,82,1
1989,p2213,p0340,53e9bb36b7602d97047756ca,Co-co-author,82,1
1989,p2215,p0227,53e9a6bbb7602d9702fec6a8,Co-co-author,12,1
1989,p2224,p0227,53e9b1a3b7602d9703c2be1c,Co-co-author,30,1
1989,p2224,p1913,53e9b1a3b7602d9703c2be1c,Co-co-author,30,1
1990,p0140,p0227,53e99eaeb7602d9702776e38,Co-co-author,8,1
1990,p0140,p0227,53e99eaeb7602d9702776e49,Co-co-author,13,1
1990,p0140,p2963,53e99eaeb7602d9702776e38,Co-co-author,8,1
1990,p0140,p2963,53e99eaeb7602d9702776e49,Co-co-author,13,1
1990,p0451,p0227,53e9a089b7602d97029717b1,Co-co-author,33,1
1990,p0451,p0340,53e9a089b7602d97029717b1,Co-co-author,33,1
1990,p0451,p2182,53e9a089b7602d97029717b1,Co-co-author,33,1
1990,p2043,p0227,53e99cd2b7602d9702586509,Co-co-author,6,1
1990,p2043,p1086,53e99cd2b7602d9702586509,Co-co-author,6,1
1990,p2043,p1127,53e99cd2b7602d9702586509,Co-co-author,6,1
1990,p2043,p2197,53e99cd2b7602d9702586509,Co-co-author,6,1
1990,p2704,p0227,53e99ddbb7602d970269faff,Co-co-author,7,1
1991,p0140,p0227,53e9b43db7602d9703f3975b,Co-co-author,549,1
1991,p0227,p0340,53e9aa66b7602d97033d9fb1,Co-co-author,31,1
1991,p0227,p0640,53e9aa66b7602d97033d9fb1,Co-co-author,31,1
1991,p0227,p2267,53e9aa66b7602d97033d9fb1,Co-co-author,31,1
1991,p0227,p2820,53e9aa66b7602d97033d9fb1,Co-co-author,31,1
1991,p0286,p0087,53e99a2bb7602d9702287915,Co-co-author,22,1
1991,p0286,p0227,53e99a2bb7602d9702287915,Co-co-author,22,1
1991,p0286,p0544,53e99a2bb7602d9702287915,Co-co-author,22,1
1991,p0286,p0566,53e99a2bb7602d9702287915,Co-co-author,22,1
1991,p0298,p0227,53e99aa5b7602d970231b53d,Co-co-author,2238,1
1991,p0340,p0227,53e9bc42b7602d97048b6185,Co-co-author,12,1
1991,p1533,p1159,53e9b321b7602d9703defd98,Co-co-author,34,1
1991,p1533,p1423,53e9b5edb7602d970413d078,Co-co-author,1,1
1991,p1533,p1835,53e9b321b7602d9703defd98,Co-co-author,34,1
1991,p2266,p0227,53e9a8f9b7602d970324afbb,Co-co-author,230,1
1992,p0012,p0227,53e9a011b7602d97028f82b9,Co-co-author,87,1
1992,p0012,p0291,53e9a011b7602d97028f82b9,Co-co-author,87,1
1992,p0012,p2547,53e9a011b7602d97028f82b9,Co-co-author,87,1
1992,p0227,p0431,53e9bb22b7602d970475c43d,Co-co-author,44,1
1992,p0227,p0449,53e9bb22b7602d970475c43d,Co-co-author,44,1
1992,p0227,p2551,53e997ecb7602d9701fe8112,Co-co-author,0,1
1992,p0340,p0227,53e9bdb8b7602d9704a641cc,Co-co-author,26,1
1992,p0431,p0227,53e9ac39b7602d9703604279,Co-co-author,763,1
1992,p0431,p0449,53e9ac39b7602d9703604279,Co-co-author,763,1
1992,p0449,p0227,53e9ba38b7602d97046464ec,Co-co-author,429,1
1992,p1533,p2097,53e9a4a3b7602d9702dc4f47,Co-co-author,39,1
1992,p2266,p0227,53e9b19cb7602d9703c24fd6,Co-co-author,701,1
1992,p2266,p0687,53e9b19cb7602d9703c24fd6,Co-co-author,701,1
1993,p0140,p0227,573695d56e3b12023e4ed1ae,Co-co-author,218,1
1993,p0140,p0655,573695d56e3b12023e4ed1ae,Co-co-author,218,1
1993,p0140,p1166,573695d56e3b12023e4ed1ae,Co-co-author,218,1
1993,p0140,p2231,573695d56e3b12023e4ed1ae,Co-co-author,218,1
1993,p0227,p0470,573695d56e3b12023e4ed200,Co-co-author,6,1
1993,p0589,p0227,53e9bddbb7602d9704a8b8ff,Co-co-author,177,1
1993,p1533,p1159,53e9ad26b7602d970370976e,Co-co-author,34,1
1993,p1533,p2097,53e99a3cb7602d970229d59a,Co-co-author,19,1
1993,p1569,p0227,53e9ade9b7602d97037f52d3,Co-co-author,3,1
1993,p1569,p1858,53e9ade9b7602d97037f52d3,Co-co-author,3,1
1993,p2551,p0227,60d30937e4510cd7c86acd7f,Co-co-author,0,1
1993,p2776,p0227,53e9a0d8b7602d97029bfb70,Co-co-author,13,1
1993,p2776,p0319,53e9a0d8b7602d97029bfb70,Co-co-author,13,1
1993,p2776,p0497,53e9a0d8b7602d97029bfb70,Co-co-author,13,1
1993,p2776,p2000,53e9a0d8b7602d97029bfb70,Co-co-author,13,1
1993,p2776,p2575,53e9a0d8b7602d97029bfb70,Co-co-author,13,1
1993,p2816,p0227,53e9b844b7602d9704407c41,Co-co-author,28,1
1994,p0138,p0875,53e9a981b7602d97032d9675,Co-co-author,1,1
1994,p0138,p2578,53e9a981b7602d97032d9675,Co-co-author,1,1
1994,p0140,p0227,53e9bc3bb7602d97048ae1d5,Co-co-author,335,1
1994,p0221,p0227,53e9a002b7602d97028e3f1e,Co-co-author,2,1
1994,p0221,p1628,53e9a002b7602d97028e3f1e,Co-co-author,2,1
1994,p0221,p1943,53e9a002b7602d97028e3f1e,Co-co-author,2,1
1994,p0221,p2602,53e9a002b7602d97028e3f1e,Co-co-author,2,1
1994,p0227,p0340,53e9b689b7602d97041f9ca6,Co-co-author,54,1
1994,p0431,p0227,53e999cab7602d970220dd00,Co-co-author,305,1
1994,p0431,p0227,53e9af12b7602d970394c112,Co-co-author,137,1
1994,p0431,p0227,53e9b976b7602d9704561df6,Co-co-author,1519,1
1994,p0687,p0227,53e99e5bb7602d970271f34c,Co-co-author,168,1
1994,p0687,p2267,53e99e5bb7602d970271f34c,Co-co-author,168,1
1994,p1533,p0358,573696606e3b12023e56d5da,Co-co-author,492,1
1994,p1533,p1159,573696606e3b12023e56d5da,Co-co-author,492,1
1994,p1533,p1849,573696606e3b12023e56d5da,Co-co-author,492,1
1994,p1533,p3019,53e9b7adb7602d9704357524,Co-co-author,34,1
