entityId,year,citationcount,affiliation,paperID
p0227,1971,11,"State University of New York at Farmingdale, Farmingdale, New York",0
p0227,1973,102,"Stony Brook University, Stony Brook, NY",2
p0227,1992,2227,Department of Computer Science|Human-Computer Interaction Laboratory|University of Maryland,53e9b11db7602d9703b9ef40
p1170,2004,6,Georgia Institute of Technology,53e9978db7602d9701f50690
p0910,2004,6,Georgia Institute of Technology,53e9978db7602d9701f50690
p1334,2004,6,Georgia Institute of Technology,53e9978db7602d9701f50690
p0227,2000,932,"Univ. of Maryland, College Park",53e997bab7602d9701fa3d8d
p1668,1994,167,"DEC Systems Research Center, Palo Alto, CA",53e997c1b7602d9701fac36e
p1319,1994,167,"HCRL, The Open University, Milton Keynes, UK",53e997c1b7602d9701fac36e
p0270,1994,167,"HCRL, The Open University, Milton Keynes, UK",53e997c1b7602d9701fac36e
p1334,1994,167,"Graphics, Visualization and Usability Center, College of Computing, Georgia Institute of Technology, Atlanta, GA",53e997c1b7602d9701fac36e
p0227,1973,12,"State University Agricultural and Technical College, Farmingdale, U.S.A.",53e997cbb7602d9701fbb960
p0506,2013,218,University of Konstanz,53e997e8b7602d9701fdff59
p1063,2013,218,Hong Kong University of Science and Technology,53e997e8b7602d9701fdff59
p1533,2013,218,"University of California, Davis",53e997e8b7602d9701fdff59
p0227,1992,0,,53e997ecb7602d9701fe8112
p2551,1992,0,,53e997ecb7602d9701fe8112
p2551,1987,0,,53e997ecb7602d9701fe8113
p0227,1987,0,,53e997ecb7602d9701fe8113
p1652,2000,162,"Stanford Univ, Stanford, CA 94305 USA",53e997ecb7602d9701fe977b
p0594,2000,162,"Stanford Univ, Stanford, CA 94305 USA",53e997ecb7602d9701fe977b
p2578,2000,162,"Stanford Univ, Stanford, CA 94305 USA",53e997ecb7602d9701fe977b
p0227,2002,219,"professor in the Department of Computer Science at the University of Maryland, and the founding director of the Human-Computer Interaction Lab",53e99808b7602d9702019fd2
p0323,2010,103,"University of California, Davis",53e9980eb7602d97020280dc
p1533,2010,103,"University of California, Davis",53e9980eb7602d97020280dc
p1854,2010,149,"Univ Calif Davis, VIDI Lab, Davis, CA 95616 USA",53e9981db7602d970203cbc2
p1533,2010,149,"Univ Calif Davis, VIDI Lab, Davis, CA 95616 USA",53e9981db7602d970203cbc2
p0227,1974,24,"Indiana Univ., Bloomington",53e9981db7602d970203d5ca
p2088,1974,24,"State Univ. of New York at Stony Brook, Stony Brook",53e9981db7602d970203d5ca
p0227,2001,364,"Univ Maryland, Dept Comp Engn, Human Comp Interact Lab, Inst Adv Comp Studies, College Pk, MD 20742 USA",53e99838b7602d9702061af7
p1749,2001,364,"Univ Maryland, Dept Comp Engn, Human Comp Interact Lab, Inst Adv Comp Studies, College Pk, MD 20742 USA",53e99838b7602d9702061af7
p0547,2004,15,"Univ Calif Davis, Dept Comp Sci, 1 Shields Ave, Davis, CA 95616 USA",53e9984bb7602d970207d68a
p1533,2004,15,"Univ Calif Davis, Dept Comp Sci, Davis, CA 95616 USA",53e9984bb7602d970207d68a
p1894,2004,15,"Univ Calif Davis, Dept Comp Sci, Davis, CA 95616 USA",53e9984bb7602d970207d68a
p2354,2004,15,"Univ Calif Davis, Dept Comp Sci, Davis, CA 95616 USA",53e9984bb7602d970207d68a
p2504,2004,15,"Univ Calif Davis, Dept Comp Sci, Davis, CA 95616 USA",53e9984bb7602d970207d68a
p0507,2013,38,"Swansea Univ, Dept Comp Sci, Swansea, W Glam, Wales",53e9984fb7602d9702087a9f
p1146,2013,38,"Rutgers State Univ, DIMACS Ctr, Discrete Math & Theoret Comp Sci, New Brunswick, NJ 8901 USA",53e9984fb7602d9702087a9f
p1231,2013,38,"Napier Univ, Sch Comp, Edinburgh EH14 1DJ, Midlothian, Scotland",53e9984fb7602d9702087a9f
p2512,2013,38,"Univ Arizona, Dept Comp Sci, Tucson, AZ 85721 USA",53e9984fb7602d9702087a9f
p1533,2013,38,"Univ Calif Davis, Dept Comp Sci, Davis, CA 95616 USA",53e9984fb7602d9702087a9f
p2441,2013,38,"Vienna Univ Technol, Inst Software Technol & Interac Syst, Vienna, Austria",53e9984fb7602d9702087a9f
p0394,2013,38,,53e9984fb7602d9702087a9f
p0077,2013,38,"Univ Calif Davis, Dept Comp Sci, Davis, CA 95616 USA",53e9984fb7602d9702087a9f
p0861,2006,3,"University of North Carolina, Chapel Hill, NC",53e99866b7602d970209f839
p2506,2006,3,"University of North Carolina, Chapel Hill, NC",53e99866b7602d970209f839
p0340,2006,3,"University of Maryland, College Park, MD",53e99866b7602d970209f839
p0227,2006,3,"University of Maryland, College Park, MD",53e99866b7602d970209f839
p2578,1998,284,"Stanford Univ, CA, USA",53e99867b7602d97020a4052
p0340,2008,76,"Human-Computer Interaction Lab,University of Maryland, MD,USA.",53e99884b7602d97020bce77
p2472,2008,76,,53e99884b7602d97020bce77
p0227,2008,76,,53e99884b7602d97020bce77
p1719,2008,76,,53e99884b7602d97020bce77
p0572,2008,76,,53e99884b7602d97020bce77
p0557,2008,76,,53e99884b7602d97020bce77
p0913,2008,76,,53e99884b7602d97020bce77
p1837,2008,76,,53e99884b7602d97020bce77
p0483,2008,76,,53e99884b7602d97020bce77
p1348,2008,76,,53e99884b7602d97020bce77
p0969,2008,76,,53e99884b7602d97020bce77
p0736,1997,206,"Department of Computer Science, Human-Computer Interaction Laboratory, University of Maryland, College Park, MD",53e9988cb7602d97020c50d0
p0227,1997,206,"Institute for Systems Research, University of Maryland, College Park, MD",53e9988cb7602d97020c50d0
p0148,1999,110,"Human-Computer Interaction Laboratory, University of Maryland, UMIACS, A.V. Williams Bldg, College Park MD",53e998b8b7602d97020f4604
p0395,1999,110,"Human-Computer Interaction Laboratory, University of Maryland, UMIACS, A.V. Williams Bldg, College Park MD",53e998b8b7602d97020f4604
p0340,1999,110,"Human-Computer Interaction Laboratory, University of Maryland, UMIACS, A.V. Williams Bldg, College Park MD",53e998b8b7602d97020f4604
p0227,1999,110,"Human-Computer Interaction Laboratory, University of Maryland, UMIACS, A.V. Williams Bldg, College Park MD",53e998b8b7602d97020f4604
p2782,2011,2,,53e998cdb7602d970210645b
p1941,2011,2,,53e998cdb7602d970210645b
p1342,2011,2,,53e998cdb7602d970210645b
p1063,2011,2,,53e998cdb7602d970210645b
